PRINCIPIO ATIVO,CNPJ,LABORATORIO,REGISTRO,EAN,PRODUTO,APRESENTACAO,CLASSE TERAPEUTICA,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%
DIMERCAPROL,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130002040021,7891058023416,DIMERCAPROL,100 MG/ML SOL INJ CX 5 AMP VD INC X 1 ML,V03E0 - ANTIDOTOS,70.1,79.66,84.45,84.45,84.98,84.98,85.49,85.49,87.63
DIMESILATO DE ALMITRINA,42.374.207/0001-76,LABORATORIOS SERVIER DO BRASIL LTDA,1127800010028,7898029559134,VECTARION,50 MG COM REV CX C/ 1 BL ALUM INC X 30,R07A0 - ESTIMULANTES RESPIRATORIOS,114.08,129.63,137.44,137.44,138.27,138.27,139.12,139.12,142.6
DIMESILATO DE LISDEXANFETAMINA,07.898.671/0001-60,SHIRE FARMACEUTICA BRASIL LTDA.,1697900040013,7898924769041,VENVANSE,30 MG CAP GEL DURA CT FR PLAS OPC X 28,N06B0 - PSICOESTIMULANTES,268.57,309.05,329.78,297.75,332.01,299.55,334.26,301.37,343.61
DIMETICONA,10.588.595/0007-97,MEDLEY FARMACEUTICA LTDA,1018104930029,7896422512442,SIMETICONA,40 MG COM CT BL AL PLAS INC X 200 (EMB HOSP),A02A2 - Antiflatulentos Puros e Carminativos,74.29,85.49,91.23,82.37,91.84,82.86,92.46,83.36,95.05
DIPIRONA,04.656.253/0001-79,MARIOL INDUSTRIAL LTDA,1624100080090,7898582250424,DIPIRONA SODICA,500 MG COM DISP BL AL PLAS INC X 250,N02B0 - ANALGESICOS NAO NARCOTICOS E ANTIPIRETICOS,79.96,92.02,98.18,88.66,98.85,89.18,99.52,89.73,102.3
DIPIRONA MAGNESICA,05.161.069/0001-10,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A,1558401460036,7896714240251,TERMOPIRONA,500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,N02B0 - ANALGESICOS NAO NARCOTICOS E ANTIPIRETICOS,102.53,117.98,125.88,113.65,126.73,114.34,127.6,115.05,131.16
DIPIRONA MONOIDRATADA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130000580086,7891058486013,NOVALGINA,500 MG/ML SOL INJ CT EST X 50 AMP VD AMB X 2 ML,N02B0 - ANALGESICOS NAO NARCOTICOS E ANTIPIRETICOS,108.51,124.87,133.24,120.3,134.14,121.03,135.06,121.77,138.83
DIPROPIONATO DE BECLOMETASONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800980047,7896261004009,MIFLASONA,200 MCG CAP INAL OR CT BL AL PLAS TRANS X 60 + INAL,R03D1 - ANTIASMATICOS/DPOC CORTICOSTEROIDES INALANTES,22.55,25.62,27.16,27.16,27.33,27.33,27.5,27.5,28.19
DIPROPIONATO DE BETAMETASONA,33.060.740/0001-72,MANTECORP INDUSTRIA QUIMICA E FARMACEUTICA S.A.,1009300330234,7891142141279,DIPROSONE,"0,64 MG/G CREM DERM CT BG AL X 30 G",D07A0 - CORTICOESTEROIDES TOPICOS PUROS,27.53,31.68,33.8,30.52,34.04,30.7,34.27,30.9,35.22
DOXICICLINA MONOIDRATADA,61.286.647/0001-16,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA,1004703300014,7897595602473,DOXICICLINA,100 MG COM SOLUV CT BL AL PLAS INC X 15,J01A0 - TETRACICLINAS E ASSOCIACOES,30.75,34.93,37.04,37.04,37.27,37.27,37.49,37.49,38.43
DROPROPIZINA,33.026.055/0001-20,LABORATORIO DAUDT OLIVEIRA LTDA,1014300700011,7896026130004,GOTAS BINELLI,30 MG/ML SOL ORAL CT FR PLAS OPC GOT X 10 ML,R05D1 - ANTITUSSIGENOS PUROS,10.1,11.63,12.41,11.2,12.49,11.27,12.58,11.34,12.92
DULAGLUTIDA,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,1126001900051,7896382707865,TRULICITY,"0,75 MG SOL INJ CT 1 SER PREENC VD TRANS X 0,5 ML + 1 CAN APLIC",A10S0 - ANTIDIABETICOS AGONISTAS DE GLP-1,90.33,103.94,110.91,100.14,111.66,100.74,112.42,101.36,115.56
DUTASTERIDA,53.162.095/0001-06,BIOSINTETICA FARMACEUTICA LTDA,1121304630051,7896181925996,DUTASTERIDA,"0,5 MG CAP MOLE CT BL AL PLAS OPC X 30",G04C3 - BPH INIBIDORES DA 5-ALFA TESTOSTERONA REDUTASE (5-ARI) PUROS,123.78,140.66,149.12,149.12,150.04,150.04,150.95,150.95,154.72
EBASTINA,61.190.096/0001-92,EUROFARMA LABORATORIOS S.A.,1004307600015,7891317005351,EBASTEL,10 MG COM REV CT BL AL PLAS INC X 10,R06A0 - ANTI-HISTAMINICOS SISTEMICOS,37.09,42.68,45.55,41.13,45.86,41.38,46.16,41.63,47.45
ELTROMBOPAGUE OLAMINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,1010702790012,7896015520403,REVOLADE,25 MG COM REV CT BL AL/AL X 14,B02E0 - Agonistas da Trombopoetina,1921.96,2211.59,2359.89,2130.66,2375.83,2143.57,2391.99,2156.65,2458.88
EMBONATO DE IMIPRAMINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006800880085,7896261014534,TOFRANIL PAMOATO,150 MG CAP GEL DURA CT BL AL PLAS INC X 30,N06A9 - ANTI-DEPRES.TOD.OUTROS,85.74,97.43,103.31,103.31,103.93,103.93,104.57,104.57,107.18
EMBONATO DE PIRVINIO,09.545.589/0001-88,MABRA FARMACEUTICA LTDA.,1779400210031,7898505090984,PYVERM,100 MG COM REV CT BL AL PLAS INC X 6,P01B0 - ANTI-HELMINTICOS EXCETO ESQUISTOSSOMICIDAS (P1C),20.38,23.46,25.03,22.59,25.2,22.73,25.37,22.87,26.07
EMPAGLIFLOZINA,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,1036701720030,7896026306638,JARDIANCE,10MG COM REV CT BL AL PLAS INCOLOR X 10,"A10P1 - ANTIDIABETICOS INIBIDORES DE SGLT2, PUROS",58.77,67.63,72.16,65.15,72.65,65.54,73.14,65.94,75.19
ENFUVIRTIDA,33.009.945/0001-23,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,1010006170024,7896226504537,FUZEON,90 MG/ML PO LIOF INJ CT 60 FA VD INC + 60 FA DIL X 2 ML + 60 SER 3 ML + 60 SER 1 ML + 180 SACH ALGODAO,"J05C4 - ANTIVIRAIS HIV, INIBIDORES DE ENTRADA",6189.54,7033.56,7457.28,7457.28,7502.47,7502.47,7548.21,7548.21,7736.92
ENOXAPARINA SODICA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130002760448,7891058003302,CLEXANE,"100 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC GRAD X 1,0 ML + SIST SEGURANCA",B01B2 - HEPARINAS FRACIONADAS,247.42,281.15,298.08,298.08,299.89,299.89,301.72,301.72,309.27
ENTACAPONA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905870026,7894916508094,ENTARKIN,200 MG COM REV CT BL AL PLAS OPC X 30,N04A0 - AANTIPARKINSONIANOS,164.46,186.88,198.13,198.13,199.33,199.33,200.55,200.55,205.57
ENTECAVIR,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,1018003770018,7896016806308,BARACLUDE,"0,5 MG COM REV CT FR PLAS OPC X 30 ",J05B1 - PRODUTOS PARA HEPATITES VIRAIS,996.64,1132.55,1200.77,1200.77,1208.05,1208.05,1215.41,1215.41,1245.8
ENZALUTAMIDA,07.768.134/0001-04,ASTELLAS FARMA BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMENTOS LTDA.,1771700060013,7899337000707,XTANDI,40MG CAP MOLE BOLS AL BL AL PLAS TRANS X 40 ,L02B2 - HORMONIOS ANTIANDROGENICOS CITOSTATICOS,3703.21,4261.26,4547.02,4105.34,4577.73,4130.22,4608.85,4155.4,4737.75
EPINEFRINA,33.524.950/0001-74,LABORATORIO BRASILEIRO DE BIOLOGIA LTDA,1084600220016,7896323910064,DYSPNE-INHAL,30 MG/ML INAL CT FR VD AMB X 6 ML ,R03B1 - ANTIASMATICOS/DPOC XANTINICOS INALANTES,16,18.42,19.65,17.74,19.79,17.85,19.92,17.96,20.47
ERITROMICINA,63.064.653/0001-54,LABORATORIOS STIEFEL LTDA,1067500120052,7896251800345,STIEMYCIN,2 PCC GEL CT BG AL X 60 G,D10A0 - ANTIACNEICOS TOPICOS,23.22,26.72,28.51,25.74,28.7,25.89,28.9,26.06,29.71
ERITROPOETINA HUMANA RECOMBINANTE,58.430.828/0001-60,BLAU FARMACEUTICA S.A.,1163700591354,7896014663255,ALFAEPOETINA,"40000 UI/ML SOL INJ CT 12 SER PREENCHIDAS X 0,5 ML ",B03C0 - ERITROPOIETINAS,8404.86,9550.97,10126.33,10126.33,10187.69,10187.69,10249.82,10249.82,10506.07
ERITROPOIETINA,53.162.095/0001-06,BIOSINTETICA FARMACEUTICA LTDA,1121300490245,7896181901709,HEMAX ERITRON,10.000 UI PO LIOF INJ CT FA VD INC + AMP DIL X 1 ML,B03C0 - ERITROPOIETINAS,461.67,524.61,556.21,556.21,559.58,559.58,563,563,577.07
ERTAPENEM SODICO,45.987.013/0001-34,MERCK SHARP & DOHME FARMACEUTICA  LTDA,1002900340012,7897337700306,INVANZ,1 G PO LIOF INJ CT FA VD INC X 20 ML,J01P2 - CARBAPENEMES E PENEMES,395.06,448.93,475.97,475.97,478.86,478.86,481.78,481.78,493.82
ESILATO DE NINTEDANIBE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,1036701730011,7896026306683,OFEV,100 MG CAP MOLE CT BL AL AL X 60,L01H0 - INIBIDORES DE PROTEINA QUINASE,7983.69,9186.77,9802.85,8850.64,9869.06,8904.28,9936.16,8958.57,10214.04
ESOMEPRAZOL MAGNESICO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356906600022,7894916509237,ESOMEX,20 MG COM REV CT BL AL AL X 14,A02B2 - INIBIDORES DA BOMBA DE PROTONS,60.47,68.71,72.85,72.85,73.3,73.3,73.74,73.74,75.58
ESOMEPRAZOL SODICO,05.035.244/0001-23,SUN FARMACEUTICA DO BRASIL LTDA,1468200270011,7898272941038,ESOMEPRAZOL SODICO,40 MG PO LIOF SOL INJ CT FA VD TRANS,A02B2 - INIBIDORES DA BOMBA DE PROTONS,31.69,36,38.17,38.17,38.4,38.4,38.64,38.64,39.61
ESPIRAMICINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130003090039,7896070605497,ROVAMICINA,"1,5 MUI COM REV CT 2 BL AL PLAS INC X 8",J01F0 - MACROLIDEOS E SIMILARES,53.57,60.87,64.53,64.53,64.92,64.92,65.32,65.32,66.95
ESPIRINOLACTONA,02.433.631/0001-20,ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA,1376400400061,7895858002404,ALDOSTERIN,100 MG COM REV CT BL AL PLAS INC X 160,C03A1 - AGENTES DIURETICOS POUPADORES POTASSIO PUROS,172.81,196.38,208.2,208.2,209.47,209.47,210.74,210.74,216.01
ESPIRONOLACTONA,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021601760131,7891268100204,ALDACTONE,100 MG COM CT  BL AL PLAS INC X 16,C03A1 - AGENTES DIURETICOS POUPADORES POTASSIO PUROS,29.54,33.57,35.6,35.6,35.81,35.81,36.03,36.03,36.93
ESTAZOLAM,56.998.701/0001-16,ABBOTT LABORATORIOS DO BRASIL LTDA,1055300450578,7891158000195,NOCTAL,2 MG COM CT BL AL PLAS INC X 20,N05B1 - HIPNOTICOS E SEDATIVOS NAO BARBITURICOS PUROS,16.09,18.29,19.4,19.4,19.51,19.51,19.63,19.63,20.13
ESTOLATO DE ERITROMICINA,60.659.463/0029-92,ACHE LABORATORIOS FARMACEUTICOS S.A,1057300260181,7896658000362,ERITREX,500 MG COM CT 3 BL AL PLAS INC X 7,J01F0 - MACROLIDEOS E SIMILARES,46.7,53.06,56.25,56.25,56.6,56.6,56.94,56.94,58.37
ESTRADIOL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006808950104,7896261007390,ESTRADOT,"0,390 MG ADS TRANSD (25 MCG/DIA) CT ENV AL LAM X 8","G03C0 - ESTROGENOS EXCLUINDO G3A, G3E, G3F",66.43,75.48,80.03,80.03,80.51,80.51,81.01,81.01,83.04
ESTRADIOL HEMI-HIDRATADO,51.780.468/0001-87,JANSSEN-CILAG FARMACEUTICA LTDA,1123633360024,7896212417315,SYSTEN,"1,6 MG ADES TRANSD CT X 8 SACHE X 1","G03C0 - ESTROGENOS EXCLUINDO G3A, G3E, G3F",67.62,76.84,81.47,81.47,81.96,81.96,82.46,82.46,84.52
ESTRIOL,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017100300081,7897572000803,OVESTRION,1 MG COM CT BL AL PLAS INC X 30,"G03C0 - ESTROGENOS EXCLUINDO G3A, G3E, G3F",17.81,20.24,21.46,21.46,21.58,21.58,21.72,21.72,22.26
ESTROGENIOS CONJUGADOS,61.072.393/0001-33,WYETH INDUSTRIA FARMACEUTICA LTDA,1211000150033,7891045008730,PREMARIN,"0,3 MG DRG CT BL AL PLAS INC X 28","G03C0 - ESTROGENOS EXCLUINDO G3A, G3E, G3F",21,23.87,25.31,25.31,25.46,25.46,25.62,25.62,26.25
ETABONATO DE LOTEPREDNOL,27.011.022/0001-03,BL INDUSTRIA OTICA LTDA,1196100050014,7896046300302,ALREX,2 MG/ML SUS OFT CT FR PLAS OPC GOT X 05 ML,S01B0 - CORTICOSTEROIDES OFTALMOLOGICOS,50.58,57.48,60.94,60.94,61.31,61.31,61.68,61.68,63.23
ETANERCEPTE,61.072.393/0001-33,WYETH INDUSTRIA FARMACEUTICA LTDA,1211002060020,7891045008235,ENBREL,25 MG PO LIOF INJ CT 4 EST X 1 FA VD INC + 1 SER PREENCH DIL X 1 ML + 1 AGU+ 1 ADAPT + 2 LENCOS,L04B0 - PRODUTOS ANTI-TNF( FATOR DE NECROSE TUMORAL),3960.58,4500.68,4771.8,4771.8,4800.71,4800.71,4829.99,4829.99,4950.74
ETINILESTRADIOL,18.459.628/0001-15,BAYER S.A.,1705600710034,7891106908641,PRIMOSISTON,"2 MG + 0,01 MG COM CT BL AL PVC/CTFE INC X 30",G03F0 - ASSOCIACOES DE ESTROGENOS E PROGESTOGENOS,8.16,9.28,9.83,9.83,9.9,9.9,9.95,9.95,10.2
ETODOLACO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,1011801460116,7896637023146,FLANCOX,300 MG COM REV CT BL AL PLAS INC X 14  ,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,15.99,18.18,19.27,19.27,19.38,19.38,19.51,19.51,19.99
ETOFAMIDA,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021601420010,7891268104202,KITNOS,500 MG COM CT BL AL PLAS INC X 6,P01A0 - AMEBICIDAS,16.46,18.7,19.84,19.84,19.95,19.95,20.07,20.07,20.57
ETONOGESTREL,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017100880010,7897572001206,IMPLANON,68 MG IMPLANTE CT 1 SERINGA  C/ 1 IMPLANTE,G03A9 - OUTROS HORMONIOS CONTRACEPTIVOS SISTEMICOS,1023.48,1163.03,1233.1,1233.1,1240.58,1240.58,1248.14,1248.14,1279.34
ETOPOSIDEO,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,1018001350046,7896016800757,VEPESID,50 MG CAPGEL MOLE CT FR VD AMB X 20,L01C4 - AGENTES ANTINEOPLASICOS PODOFILOTOXINAS,971.4,1103.87,1170.37,1170.37,1177.47,1177.47,1184.64,1184.64,1214.25
ETORICOXIBE,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017102000069,7897572005440,HETORI,90 MG COM REV CT BL AL/AL X 14,M01A3 - COXIBS,90.63,102.99,109.2,109.2,109.86,109.86,110.53,110.53,113.29
ETOSSUXIMIDA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,1011801410011,7896637022583,ETOXIN,50 MG/ML XPE CT FR VD AMB X 120 ML,N03A0 - ANTICONVULSIVANTES INCLUINDO ANTIEPILEPTICOS,41.76,47.46,50.32,50.32,50.63,50.63,50.93,50.93,52.2
EVEROLIMO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,1006809590020,7896261008212,CERTICAN,"0,50 MG COM CT BL AL/AL X 60",L04X0 - OUTROS IMUNOSSUPRESSORES,1318.28,1498.04,1588.29,1588.29,1597.91,1597.91,1607.65,1607.65,1647.84
EVOLOCUMABE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,1024400070041,7898609960145,REPATHA,140 MG/ML SOL INJ CT 3 SER PREENC VD TRANS X 1 ML + CAN APLIC, -,3359.27,3865.49,4124.72,3724.06,4152.57,3746.62,4180.81,3769.48,4297.73
EXEMESTANO,46.070.868/0001-69,LABORATORIOS PFIZER LTDA.,1021601410023,7891268100501,AROMASIN,25 MG DRG CT BL AL PLAS OPC X 30,L02B3 - CITOSTATICOS INIBIDORES DA AROMATASE,816.01,927.29,983.15,983.15,989.11,989.11,995.14,995.14,1020.02
EXENATIDA,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,1126001820015,7896382705526,BYETTA,"250 MCG/ML SOL INJ CT CARP VD INC X 1,2 ML X SIST APLIC PLAS",A10S0 - ANTIDIABETICOS AGONISTAS DE GLP-1,426.37,484.52,513.7,513.7,516.81,516.81,519.96,519.96,532.96
EZETIMIBA,03.560.974/0001-18,SCHERING-PLOUGH INDUSTRIA FARMACEUTICA LTDA,1017101930038,7891142198709,ZETSIM,10 MG + 10 MG COM CT BL AL PVC X 28 ,C10C0 - REGULADORES DE GORDURA EM COMBINACAO COM OUTROS REGULADORES DE GORDURA,105.9,120.34,127.59,127.59,128.36,128.36,129.15,129.15,132.38
FAMOTIDINA,60.659.463/0029-92,ACHE LABORATORIOS FARMACEUTICOS S.A,1057301440033,7896658000379,FAMOX,20 MG COM CT BL AL PLAS INC X 10,A02B1 - ANTAGONISTAS RECEPTORES H2,17.57,19.96,21.17,21.17,21.3,21.3,21.43,21.43,21.97
FAMPRIDINA,07.986.222/0001-74,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,1699300030021,7898926573103,FAMPYRA,10 MG COM REV LIB PROL CT FR PE X 28,N07X0 - TODOS OS OUTROS PRODUTOS PARA O SISTEMA NERVOSO CENTRAL,569.02,654.77,698.69,630.82,703.41,634.64,708.19,638.51,728
FANCICLOVIR,58.430.828/0001-60,BLAU FARMACEUTICA S.A.,1163700350039,7896014675401,FANCLOMAX,250 MG COM CT BL AL PLAS INC X 21,J05B3 - ANTIVIRAIS PARA HERPES,307.63,349.59,370.65,370.65,372.9,372.9,375.17,375.17,384.54
FATOR DE VON WILLEBRAND,02.513.899/0001-71,GRIFOLS BRASIL LTDA,1364100140026,6851646032000,ALPHANATE,1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS ,B02D1 - FATOR VIII,3844.19,4423.49,4720.14,4261.64,4752.01,4287.46,4784.32,4313.6,4918.13
FATOR IX DE COAGULACAO,02.552.927/0001-60,OCTAPHARMA BRASIL LTDA,1397100080011,9006477230033,OCTANINE F,250 UI PO LIOF INJ CT 1 FA VD INC+ 1 FA DIL X 5 ML + EQP INFUS,B02D2 - FATORES II VII IX X,554.36,629.96,667.91,667.91,671.96,671.96,676.06,676.06,692.96
FATOR VIII DE COAGULACAO,02.513.899/0001-71,GRIFOLS BRASIL LTDA,1364100030018,8470006703564,FANHDI,1000 UI PO LIOF INJ CX FA VD INC + SER DIL X 10 ML + EQUIPO INFUS,B02D1 - FATOR VIII,2259.25,2567.33,2722,2722,2738.49,2738.49,2755.19,2755.19,2824.06
FELODIPINO,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,1161800740177,7896206407810,SPLENDIL,10 MG COM LIB PROL CT BL AL/AL X 30,C08A0 - ANTAGONISTAS DO CALCIO PUROS,201.68,229.18,242.99,242.99,244.46,244.46,245.95,245.95,252.1
FEMPROCUMONA,33.009.945/0001-23,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,1010000520010,7896226500638,MARCOUMAR,3 MG COM FR VD AMB X 25,B01A0 - ANTAGONISTAS DA VITAMINA K,8.58,9.75,10.34,10.34,10.4,10.4,10.47,10.47,10.73
FENDIZOATO DE CLOPERASTINA,61.100.004/0001-36,ZAMBON LABORATORIOS FARMACEUTICOS LTDA.,1008401400051,7898074618206,SEKI,"35,4 MG/ML SUS OR CT FR VD AMB X 15 ML + GOT",R05D1 - ANTITUSSIGENOS PUROS,28.08,32.31,34.48,31.13,34.71,31.31,34.95,31.51,35.92
FENDIZOATO DE LEVOCLOPERASTINA,02.932.074/0001-91,HYPERMARCAS S/A,1728705050041,7891142171948,PRIVITUSS,"7,08 MG/ML SUS OR CT FR PLAS AMB X 120 ML + SER DOSAD SBR FRUTAS VERMELHAS  ",R05D1 - ANTITUSSIGENOS PUROS,14.33,16.48,17.58,15.88,17.71,15.98,17.83,16.08,18.33
FENILBUTAZONA CALCICA,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,1036700590052,7896026300322,BUTAZONA CALCICA,200 MG COM REV CT 10 BL AL PLAS INC X 10,M01A1 - ANTI-REUMATICOS NAO ESTEROIDAIS PUROS,39.4,44.76,47.46,47.46,47.75,47.75,48.04,48.04,49.24
FENITOINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130002330011,7896185909084,HIDANTAL,100 MG COM CT BL AL PLAS INC X 25,N03A0 - ANTICONVULSIVANTES INCLUINDO ANTIEPILEPTICOS,8.06,9.17,9.7,9.7,9.77,9.77,9.83,9.83,10.08
FENOBARBITAL,02.685.377/0001-57,SANOFI-AVENTIS FARMACEUTICA LTDA,1130003060091,7896070600669,GARDENAL,100 MG COM CT BL AL PLAS INC X 20,N03A0 - ANTICONVULSIVANTES INCLUINDO ANTIEPILEPTICOS,6.7,7.62,8.07,8.07,8.11,8.11,8.17,8.17,8.38
FENOFIBRATO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905540026,7896004751610,LIPOBRATO,200 MG CAP GEL DURA CT BL AL PLAS OPC X 30,C10A2 - FIBRATOS,63.26,71.89,76.23,76.23,76.68,76.68,77.15,77.15,79.09
FENOXIMETILPENICILINA POTASSICA,60.659.463/0029-92,ACHE LABORATORIOS FARMACEUTICOS S.A,1057303280025,7896658005589,MERACILINA,500.000 U COM CT STR X 12,J01H1 - PENICILINAS DE PEQUENO E MEDIO ESPECTROS PURAS,7.53,8.57,9.08,9.08,9.14,9.14,9.19,9.19,9.43
FENTANILA,51.780.468/0001-87,JANSSEN-CILAG FARMACEUTICA LTDA,1123600270182,7896212421183,DUROGESIC D-TRANS,"12,6 MG ADES TRANSD MATRICIAL CT ENV X 5",N02A0 - ANALGESICOS NARCOTICOS,1205.9,1370.34,1452.89,1452.89,1461.7,1461.7,1470.61,1470.61,1507.37
FERRIPOLIMALTOSE,49.475.833/0001-06,BIOLAB SANUS FARMACEUTICA LTDA,1097401550034,7896112417019,ENDOFER,100 MG COM MAST CT 2 BL AL /AL X 10,B03A1 - FERRO PURO,22.75,26.18,27.94,25.22,28.12,25.37,28.31,25.52,29.11
FERRO AMINOACIDO QUELATO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356906260061,7894916500272,NEUTROFER,100 MG COM MAST CT FR PLAS OPC X 30,B03A1 - FERRO PURO,50.57,58.19,62.09,56.06,62.51,56.4,62.94,56.75,64.7
FERROCARBONILA,60.659.463/0029-92,ACHE LABORATORIOS FARMACEUTICOS S.A,1057303740042,7896658003806,NOVOFER,126 MG COM REV CT BL AL PLAS INC X 45,B03A1 - FERRO PURO,24.29,27.96,29.84,26.94,30.04,27.1,30.24,27.26,31.09
FILGRASTIM,53.162.095/0001-06,BIOSINTETICA FARMACEUTICA LTDA,1121301760025,7896181901365,FILGRASTIM,30 MU (300 MCG) SOL INJ CT 5 FA VD INC X 1 ML,L03A1 - FATORES ESTIMULANTES DE COLONIAS,2684.27,3050.32,3234.07,3234.07,3253.67,3253.67,3273.51,3273.51,3355.35
FINASTERIDA,61.068.755/0001-12,SANVAL COMERCIO E INDUSTRIA LTDA,1071401650043,7896137112746,PRONASTERON,1 MG COM CT BL AL PLAS AMB X 30,D11A0 - OUTRAS PREPARACOES DERMATOLOGICAS,26.61,30.63,32.68,29.5,32.9,29.68,33.12,29.86,34.05
FITOMENADIONA,33.009.945/0001-23,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,1010000370064,7896226502113,KANAKION,"10 MG/ML SOL INJ CX COLM 05 AMP VD AMB X 1,0 ML",B02B1 - VITAMINA K,18.65,21.19,22.46,22.46,22.6,22.6,22.74,22.74,23.31
FLUCONAZOL,57.507.378/0003-65,EMS S/A,1023504110076,7896004715155,FLUCOCIN,150 MG CAP GEL DURA CT BL AL PLAS OPC X 1  ,J02A0 - AGENTES SISTEMICOS PARA INFECCOES FUNGICAS,22.23,25.26,26.78,26.78,26.94,26.94,27.11,27.11,27.79
FLUDROXICORTIDA,49.475.833/0001-06,BIOLAB SANUS FARMACEUTICA LTDA,1097401490120,7896241261248,DRENISON,"4 MCG CM2 CUR CT RL 200 CM X 7,5",D07A0 - CORTICOESTEROIDES TOPICOS PUROS,71.72,82.25,87.63,81.15,88.19,81.63,88.78,82.13,91.19
FLUMAZENIL,60.665.981/0001-18,UNIAO QUIMICA FARMACEUTICA NACIONAL S/A,1049711920018,7896006242147,FLUMAZEN,"0,5 MG/5 ML SOL INJ CT 5 AMP VD AMB X 5 ML",N07X0 - TODOS OS OUTROS PRODUTOS PARA O SISTEMA NERVOSO CENTRAL,844.59,959.76,1017.57,1017.57,1023.74,1023.74,1029.99,1029.99,1055.74
FLUNITRAZEPAM,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356906040019,7894916501705,ROHYDORM,1 MG COM REV CT BL AL PLAS INC X 20,N05B1 - HIPNOTICOS E SEDATIVOS NAO BARBITURICOS PUROS,10.29,11.68,12.39,12.39,12.47,12.47,12.54,12.54,12.86
FLUOCINOLONA ACETONIDA,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,1356905210034,7895296280020,OSKIN,"40 MG/G + 0,5 MG/G + 0,1 MG/G CREM DERM CT BG AL X 15 G",D11A0 - OUTRAS PREPARACOES DERMATOLOGICAS,78.84,90.73,96.81,87.4,97.47,87.94,98.12,88.48,100.87
FLUORMETOLONA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACEUTICOS LTDA,1014700130018,7897316800102,FLUMEX,1 MG/ML SUS OFTALMICA FR PLAS GOTEJ OPC X 10 ML,S01B0 - CORTICOSTEROIDES OFTALMOLOGICOS,15.8,17.96,19.04,19.04,19.16,19.16,19.27,19.27,19.76
